feature,importance
news2_score,2450.8
respiratory_rate,2127.2
chief_complaint_system,1955.1999999999998
spo2,1803.6
temperature_c,1631.1999999999998
heart_rate,1220.6
mean_arterial_pressure,1183.0
shock_index,1061.4
diastolic_bp,1021.5999999999999
cc_word_count,983.8000000000001
num_prior_ed_visits_12m,907.3999999999999
pain_score,859.2
systolic_bp,843.8000000000001
bmi,734.0
pulse_pressure,693.4
height_cm,692.8
mental_status_triage,691.8000000000001
weight_kg,653.6
triage_nurse_id,643.5999999999999
age,590.6
gcs_total,522.2
tf_51,400.6
arrival_hour,389.8
arrival_month,365.4
num_comorbidities,361.79999999999995
arrival_hour_sin,346.8
arrival_hour_cos,342.79999999999995
tf_53,333.80000000000007
num_active_medications,320.8
pain_location,300.4
cc_mild,298.8
tf_68,258.40000000000003
arrival_day,254.20000000000002
tf_94,243.60000000000002
tf_77,239.4
tf_52,234.6
cc_chronic,227.39999999999998
language,219.39999999999998
transport_origin,218.8
tf_19,213.40000000000003
tf_61,212.0
tf_30,209.2
site_id,205.79999999999998
tf_86,204.0
tf_92,199.4
tf_69,198.0
tf_78,197.79999999999998
tf_1,195.6
tf_22,191.6
tf_82,188.60000000000002
tf_83,162.20000000000002
tf_81,161.2
tf_87,159.6
cc_acute,156.6
arrival_mode,155.4
tf_26,151.8
cc_trauma,148.0
tf_74,146.39999999999998
tf_58,144.8
insurance_type,144.6
tf_93,130.6
tf_35,130.2
arrival_season,127.6
tf_42,125.2
tf_41,120.60000000000001
tf_49,118.19999999999999
num_prior_admissions_12m,117.2
tf_71,115.2
tf_11,109.80000000000001
tf_21,109.19999999999999
cc_severe,108.80000000000001
tf_90,106.4
tf_33,106.0
tf_47,104.4
tf_17,102.39999999999999
tf_97,102.2
cc_psych,101.2
tf_38,100.8
tf_64,99.19999999999999
tf_16,98.8
tf_6,96.4
tf_76,95.6
tf_25,92.2
tf_4,90.79999999999998
cc_neuro,90.39999999999999
tf_54,90.0
tf_36,89.79999999999998
tf_0,87.8
tf_56,87.6
tf_8,86.6
tf_24,86.19999999999999
tf_44,85.80000000000001
tf_79,84.4
tf_99,84.19999999999999
comorbidity_burden,83.0
tf_28,81.2
tf_50,78.80000000000001
tf_37,78.8
cc_cardiac,76.2
sex,73.8
tf_3,73.39999999999999
tf_20,71.8
tf_34,71.2
news2_high,71.0
gcs_moderate,69.8
tf_14,69.0
tf_89,68.2
tf_12,66.8
tf_59,65.4
has_fever,63.0
tf_46,62.599999999999994
gcs_severe,62.2
tf_40,62.0
tf_75,61.800000000000004
tf_10,61.0
hx_liver_disease,61.0
shift,60.2
tf_43,57.800000000000004
tf_7,57.8
tf_91,57.2
hx_obesity,56.0
hx_anxiety,56.0
hx_hypertension,55.6
hx_immunosuppressed,55.0
cc_bleeding,53.0
tf_60,52.8
hx_hypothyroidism,52.60000000000001
tf_18,52.2
pain_severe,51.8
hx_asthma,51.0
hx_coronary_artery_disease,51.0
hx_stroke_prior,50.6
tf_29,50.2
age_group,49.2
hx_substance_use_disorder,48.8
hx_hiv,47.8
hx_diabetes_type1,47.599999999999994
hx_copd,46.8
tf_67,46.0
hx_malignancy,45.800000000000004
tf_9,45.599999999999994
hx_peripheral_vascular_disease,45.2
tf_55,44.6
hx_coagulopathy,44.2
hx_hyperthyroidism,44.199999999999996
hx_epilepsy,44.0
hx_heart_failure,44.0
tf_45,42.4
hx_ckd,41.2
hx_depression,40.8
hx_diabetes_type2,40.599999999999994
tf_80,40.4
tf_65,40.2
hx_pregnant,39.2
tf_39,38.599999999999994
tf_15,38.400000000000006
tf_70,38.2
tf_2,37.8
hx_atrial_fibrillation,37.400000000000006
hx_dementia,35.2
tf_23,35.2
tf_62,30.8
tf_95,30.200000000000003
is_night,29.6
tf_98,27.2
tf_5,25.0
tf_96,24.000000000000004
is_tachypneic,23.4
is_hypoxic,22.799999999999997
tf_72,20.8
pain_none,19.0
tf_73,18.0
is_tachycardic,18.0
tf_84,16.400000000000002
tf_88,15.8
tf_27,15.8
tf_13,14.8
is_hypotensive,13.600000000000001
tf_31,13.0
tf_63,12.0
shock_high,10.4
tf_66,6.4
tf_32,4.0
tf_48,3.6
tf_57,3.0
tf_85,1.8
